src,trg
X-Ray Studies of Tilted Hexatic Phases in Thin Liquid-Crystal Films,X-Ray Observation of a Stacked Hexatic Liquid-Crystal B Phase
Ferroelectricity in Spiral Magnets,Anisotropic Superexchange Interaction and Weak Ferromagnetism
Theoretical prediction and direct observation of the 9R structure in Ag,Quantum-solid behavior and the electronic structure of the light alkali metals
Production of ultracold molecules with chirped nanosecond pulses: Evidence for coherent effects,Quantum dynamical calculations of ultracold collisions induced by nonlinearly chirped light
Field- and photofield-emission spectroscopy of sodium overlayers on the (100) and (110) facets of tungsten,Vacuum tunneling current from an adsorbed atom
Non-Hermitian Floquet topological phases with arbitrarily many real-quasienergy edge states,Bulk-boundary correspondence for chiral symmetric quantum walks
Oscillating universe in massive gravity,New cosmological solutions in massive gravity
Intrinsic chiral-spin glass and spin glass transitions in compacted Ni5Al3/NiO core/shell nanoparticles,Coexistence of Spin-Glass and Ferromagnetic Orderings
Tuning the magnetism of epitaxial cobalt oxide thin films by electron beam irradiation,Atomic-resolution imaging of oxidation states in manganites
Resonant Absorption of Bosonic Dark Matter in Molecules,New observables for direct detection of axion dark matter
Lepton flavor violation in Z and lepton decays in supersymmetric models,Lepton-flavor-violating decays of the Z boson in a left-right supersymmetric model
High-precision Monte Carlo study of several models in the three-dimensional U(1) universality class,Critical behavior of the three-dimensional XY universality class
Creation of particles by shell-focusing singularities,Probability distribution of particles created by a black hole
Estimating the time evolution of NMR systems via a quantum-speed-limit–like expression,Quantum-speed-limit bounds in an open quantum evolution
Stabilization of highly polarized PbTiO3 nanoscale capacitors due to in-plane symmetry breaking at the interface,Optimized pseudopotentials
Photon scattering from strongly driven atomic ensembles,Instabilities of Waves in Nonlinear Disordered Media
Collapsed tetragonal phase and superconductivity of BaFe2As2 under high pressure,Zero-resistance superconducting phase in BaFe2As2 under high pressure
Attosecond physics,Femtosecond Studies of Image-Potential Dynamics in Metals
"Electronic structure and optical properties of α and β phases of silicon nitride, silicon oxynitride, and with comparison to silicon dioxide","Electronic structure, defect states, and optical absorption of amorphous Si1−xNx [0≤x/(1-x)≤2]"
Fragile topological phases in interacting systems,Compactly supported Wannier functions and algebraic K-theory
NLO perturbativity bounds on quartic couplings in renormalizable theories with ϕ4-like scalar sectors,"Erratum: Minkowski space structure of the Higgs potential in the two-Higgs-doublet model [Phys. Rev. D 75, 035001 (2007)]"
Numerical study of universal conductance fluctuations in three-dimensional topological semimetals,Topological node-line semimetal in three-dimensional graphene networks
Effective action for vortex dynamics in clean d-wave superconductors,Coincidence of Checkerboard Charge Order and Antinodal State Decoherence in Strongly Underdoped Superconducting Bi2Sr2CaCu2O8+δ
Cross section measurements of high-pT dilepton final-state processes using a global fitting method,Measurement of the Top Quark Mass and tt¯ Production Cross Section from Dilepton Events at the Collider Detector at Fermilab
Alternatives to quintessence model building,Current constraints on the dark energy equation of state
Kinetics of ordering and spinodal decomposition in the pair approximation,Theory of Order-Disorder Kinetics
Neutralino production as a SUSY discovery process at CERN LEP 2,"Addendum to ""Lepton-pair production as a signature of supersymmetry"""
Electrooptomechanical Equivalent Circuits for Quantum Transduction,"Introduction to quantum noise, measurement, and amplification"
Multiorder coherent Raman scattering of a quantum probe field,Measurement of subpicosecond time intervals between two photons by interference
Dalitz plot studies of D0→KS0π+π− decays in a factorization approach,Weak decays beyond leading logarithms
Assessment of the GLLB-SC potential for solid-state properties and attempts for improvement,Electronic excitations and the Becke-Johnson potential: The need for and the problem of transforming model potentials to functional derivatives
Enhancement of the Tunneling Density of States in Tomonaga-Luttinger Liquids,Exact Conductance through Point Contacts in the ν=1/3 Fractional Quantum Hall Effect
Impact of piezoelectric fields on coherent zone-folded phonons in GaAs/AlAs superlattices,Coherent Terahertz Sound Amplification and Spectral Line Narrowing in a Stark Ladder Superlattice
Anion-Vacancy Processes Occurring after Room-Temperature F-Light Bleaching or Irradiation of NaCl,Delayed Luminescence of the M Center in F−to−M Conversion in NaF
Nonperturbative amplification of inhomogeneities in a self-reproducing universe,Uncertainties of predictions in models of eternal inflation
Hadronic Light-by-Light Contribution to Muon g−2 in Chiral Perturbation Theory,Hadronic light-by-light scattering contribution to muon g−2
"CP violation in η, KL→μμ¯ decays and electric dipole moments of electron and muon",Spontaneous CP nonconservation and natural flavor conservation: A minimal model
Pairing in nuclear systems: from neutron stars to finite nuclei,Pion condensation and realistic interactions
Shubnikov-de Haas oscillations of a single layer graphene under dc current bias,Magnetic oscillations in planar systems with the Dirac-like spectrum of quasiparticle excitations. II. Transport properties
"Geometry and electronic structure of M-DNA (M=Zn2+, Co2+, and Fe2+)",Small Polarons in Dry DNA
Superconductivity versus tunneling in a doped antiferromagnetic ladder,One-Particle and Two-Particle Instability of Coupled Luttinger Liquids
Thermoelectric properties of Weyl and Dirac semimetals,Weyl and Dirac semimetals with Z2 topological charge
Synchronization of time-delay systems,Circuit implementation of synchronized chaos with applications to communications
Single-photon nonreciprocal transport in one-dimensional coupled-resonator waveguides,Inherent Mach-Zehnder interference with “which-way” detection for single-particle scattering in one dimension
Massless Mode and Positivity Violation in Hot QCD,Quark spectral density and strongly-coupled quark-gluon plasma
Zero Modes and Global Antiferromagnetism in Strained Graphene,Inhomogeneous magnetic catalysis on graphene’s honeycomb lattice
Densest versus jammed packings of bent-core trimers,Maximally dense packings of two-dimensional convex and concave noncircular particles
Momentum distribution of the uniform electron gas: Improved parametrization and exact limits of the cumulant expansion,On the exactness of simple natural spin-orbital functionals for a high-density homogeneous electron gas
"Growth, optical characterization, and laser operation of a stoichiometric crystal KYb(WO4)2","Raman Spectra of CaWO4, SrWO4, CaMoO4, and SrMoO4"
Comparison of numerical and post-Newtonian waveforms for generic precessing black-hole binaries,Gravitational recoil from binary black hole mergers: The close-limit approximation
Fusion hindrance and Pauli blocking in Ni58+Ni64,Unexpected Behavior of Heavy-Ion Fusion Cross Sections at Extreme Sub-Barrier Energies
Dipole interactions among polar defects: A self-consistent theory with application to OH− impurities in KCl,Temperature-Dependent Internal Field Distribution and Magnetic Susceptibility of a Dilute Ising Spin System
Efficient approach to compute melting properties fully from ab initio with application to Cu,Melting curve of aluminum up to 300 GPa obtained through ab initio molecular dynamics simulations
Derivation of the Relation Between the Transmission Coefficient and the Ratio of the Average Width to the Average Spacing,Average Resonance Widths in Single-Channel Scattering
Demonstration of resonant inelastic x-ray scattering as a probe of exciton-phonon coupling,Ab Initio Calculation of Excitonic Effects in the Optical Spectra of Semiconductors
Short-time height distribution in the one-dimensional Kardar-Parisi-Zhang equation: Starting from a parabola,Rare event statistics in reaction-diffusion systems
Quantum thermodynamic functions for an oscillator coupled to a heat bath,Memory effects in transport theory: An exact model
Turbulent drag on a low-frequency vibrating grid in superfluid 4He at very low temperatures,Observation of a Remanent Vortex-Line Density in Superfluid Helium
Magnetic Trapping and Coherent Control of Laser-Cooled Molecules,Schemes for robust quantum computation with polar molecules
High-temperature memory in (Pb∕La)(Zr∕Ti)O3 as intrinsic of the relaxor state rather than due to defect relaxation,Memory effects in a nanoparticle system: Low-field magnetization and ac susceptibility measurements
Multiband model for tunneling in MgB2 junctions,Order Parameter of MgB2: A Fully Gapped Superconductor
Attosecond cascades and time delays in one-electron photoionization,Initial State Dependence in Multielectron Threshold Ionization of Atoms
Creation and mobility of discrete solitons in Bose-Einstein condensates,Bose-Einstein condensates in optical lattices: Band-gap structure and solitons
"First-principles calculation of the magnetocrystalline anisotropy energy of iron, cobalt, and nickel",Polar Kerr-Effect Observation of Perpendicular Surface Anisotropy for Ultrathin fcc Fe Grown on Cu(100)
Indirect exchange interaction between magnetic adatoms in monolayer MoS2,RKKY interaction in graphene from the lattice Green’s function
Spacetime Curvature and the Higgs Stability During Inflation,Effective Lagrangian for λφ4 theory in curved spacetime with varying background fields: Quasilocal approximation
Superfluid transition of He4 films adsorbed on multiply connected surfaces,Superfluid transition of He4 films adsorbed in porous materials
Quasiexcitons in incompressible quantum liquids,Charged Excitons in the Fractional Quantum Hall Regime
Alternatives to the Dirac equation,Two-Component Forms of the Dirac Equation
Quantum mechanics of history: The decoherence functional in quantum mechanics,Spacetime coarse grainings in nonrelativistic quantum mechanics
Solvable supersymmetric continuum model in arbitrary dimensions,Exact solution of an S=1/2 Heisenberg antiferromagnetic chain with long-ranged interactions
Vacuum-polarization corrections to the hyperfine splitting in heavy ions and to the nuclear magnetic moments,Vacuum-polarization corrections to the hyperfine-structure splitting of highly charged 83209Bi ions
Apparent slow dynamics in the ergodic phase of a driven many-body localized system without extensive conserved quantities,Anomalous Diffusion and Griffiths Effects Near the Many-Body Localization Transition
Corbino-geometry Josephson weak links in thin superconducting films,Berry phase modification of the current drive in a restricted class of large annular Josephson junctions at low temperature
Newtonian boson spheres,Hartree solutions for the self-Yukawian boson sphere
Photon-pair generation in a lossy microring resonator. I. Theory,Strongly driven nonlinear quantum optics in microring resonators
Inverse magnetic catalysis in the three-flavor NJL model with axial-vector interaction,Electromagnetic field evolution in relativistic heavy-ion collisions
Strong cosmic censorship: The nonlinear story,Telling tails in the presence of a cosmological constant
Spatially anisotropic Heisenberg kagome antiferromagnet,Specific heat of the S=12 Heisenberg model on the kagome lattice: High-temperature series expansion analysis
"Nonperturbative Corrections to 4D String Theory Effective Actions from SL(2,Z) Duality and Supersymmetry",Quantum corrections to the universal hypermultiplet and superspace
Response of acoustic and elastic properties to pressure and crystallization of Ce-based bulk metallic glass,Supersoftening of transverse phonons in Zr41Ti14Cu12.5Ni10Be22.5 bulk metallic glass
Dimers on the triangular kagome lattice,Nuclear antiferromagnetism in a registered He3 solid
Topological interactions of non-Abelian vortices with quasiparticles in high density QCD,Instabilities of Non-Abelian Vortices in Dense QCD
Evidence of a pressure-induced orbital transition in a layered manganite,Pressure-induced insulator-metal transition in a bilayer manganite: Pressure control of orbital stability
Strong Velocity Effects in Collisions of He+ with Fullerenes,Electron Impact Ionization of C60
Spin Correlation in tt¯ Production from pp¯ Collisions at √s=1.8TeV,Measurement of the tt¯ Production Cross Section in pp¯ Collisions at s=1.8TeV
Structural anomalies in the oxygen sublattice of YBa2Cu3O7 and EuBa2Cu3O7 at Tc,Ion-channeling investigation of thermal vibrational amplitudes across the superconducting transition in YBa2Cu3O7−δ
Effect of gauge-field interaction on fermion transport in two dimensions: Hartree conductivity correction and dephasing,Electron-electron interactions in disordered metals: Keldysh formalism
Spatiotemporal Structure of Traffic Flow in a System with an Open Boundary,Presence of Many Stable Nonhomogeneous States in an Inertial Car-Following Model
Gravitational radiation from cosmic strings,Cosmic-string evolution
Nucleon to Δ weak excitation amplitudes in the nonrelativistic quark model,"NN,NΔ couplings and the quark model"
Determination of the bowing parameter of the split-off band in Cd0.8Zn0.2Te(100) by angle-resolved photoemission spectroscopy,"Electronic structure of ZnS, ZnSe, ZnTe, and their pseudobinary alloys"
Larger domains from resonant decay of disoriented chiral condensates,Quantum system under periodic perturbation: Effect of environment
Alternative formulation of left-right symmetry with B−L conservation and purely Dirac neutrinos,Neutrinoless double beta decay in left-right symmetric models with a universal seesaw mechanism
"Mixing angles and decay constants of η, η′, and ηc",Why is the B→η′X Decay Width So Large?
Model for decoherence of entangled beauty,Unified dynamics for microscopic and macroscopic systems
Mapping the Surface Spin Structure of Large Unit Cells: Reconstructed Mn Films on Fe(001),Observation of Spin-Polarized Surface States on Ultrathin bct Mn(001) Films by Spin-Polarized Scanning Tunneling Spectroscopy
Phonon dynamics in type-VIII silicon clathrates: Beyond the rattler concept,High-precision sampling for Brillouin-zone integration in metals
Unified framework for understanding pair transfer between collective states in atomic nuclei,Phase Coexistence in Transitional Nuclei and the Interacting-Boson Model
Possibility of coexistence of local-moment and itinerant-electron magnetism in α-manganese: A perturbed-angular-correlation study,Mössbauer study of static and dynamic critical behavior in Fe
"Structure, physical properties, and applications of SrRuO3 thin films",The superconductivity of Sr2RuO4 and the physics of spin-triplet pairing
"One-dimensional Potts model, Lee-Yang edges, and chaos",Some Rigorous Inequalities Satisfied by the Ferromagnetic Ising Model in a Magnetic Field
Trends in band-gap pressure coefficients in chalcopyrite semiconductors,Analytic relation between bulk moduli and lattice constants
General Model for Water Monomer Adsorption on Close-Packed Transition and Noble Metal Surfaces,Vibrational Recognition of Hydrogen-Bonded Water Networks on a Metal Surface
X-ray reflectivity measurements and Landau theory of smectic wetting in liquid crystal–benzyl alcohol mixtures,Capillary waves on the surface of simple liquids measured by x-ray reflectivity
Interface optical-phonon modes and electron–interface-phonon interactions in wurtzite GaN/AlN quantum wells,Interface Vibrational Modes in GaAs-AlAs Superlattices
Quantum Network Transfer and Storage with Compact Localized States Induced by Local Symmetries,Unmodulated spin chains as universal quantum wires
Anomalous Ultrasonic Attenuation above the Magnetic Critical Point,Critical Scattering of Sound in Rare-Earth Metals
Characterization of quasi-one-dimensional Rydberg atoms using multiply directed half-cycle pulses,Exploration of momentum evolution and three-dimensional localization in recombined electron wave packets
Magnetotransport studies of the Fermi surface in the organic superconductor κ−(BEDT−TTF)2Cu[N(CN)2]Br,Electron states and Fermi surfaces in the organic superconductor κ-(BEDT-TTF)2 Cu[N(CN)2 ]Br
Analysis of threshold effects in ultracold atomic collisions,General form of the quantum-defect theory. II
Measurement of the Noise Spectrum Using a Multiple-Pulse Sequence,Relaxation Effects in Nuclear Magnetic Resonance Absorption
Far-Infrared Emission from Population-Inverted Hot-Carrier System in p-Ge,Recombination Radiation from Impact-Ionized Shallow Donors in n-Type InSb
Time delays in ultracold atomic and molecular collisions,Calculation of the scattering length in atomic collisions using the semiclassical approximation
Persistent quasiplanar nematic texture: Its properties and topological defects,Formation of disclination lines near a free nematic interface
Double-layered monopolar order in the Tb2Ti2O7 spin liquid,Field-induced magnetic structures in Tb2Ti2O7 at low temperatures: From spin-ice to spin-flip structures
Meson wave function from holographic models,QCD and a Holographic Model of Hadrons
Quasielastic charge exchange in nH2→pnn at 794 MeV,Two-Nucleon Potential from the Cut-Off Yukawa Theory
Comparative study of BCS-BEC crossover theories above Tc: The nature of the pseudogap in ultracold atomic Fermi gases,Excitation spectrum of the attractive Hubbard model
Be7 and Li7 nuclei within the no-core shell model with continuum,Electromagnetic excitation of aligned Li7 nuclei
Electronic and magnetic structure of α-FeSO4,Quadrupole Antishielding Factors of Ions
Hadronization within a Nambu–Jona-Lasinio model with a Polyakov loop,The Nambu—Jona-Lasinio model of quantum chromodynamics
Light stops and observation of supersymmetry at LHC run II,Implications of a 125 GeV Higgs boson for the MSSM and low-scale supersymmetry breaking
Temperature-dependent defect dynamics in the network glass SiO2,Diffusion and jump-length distribution in liquid and amorphous Cu33Zr67
On the Cooling of a Radioactive Sphere,The Diffusion Problem for a Solid in Contact with a Stirred Liquid;
Quantum phase diagram of fermion mixtures with population imbalance in one-dimensional optical lattices,Pairing states of a polarized Fermi gas trapped in a one-dimensional optical lattice
Spectral signatures of fractionalization in the frustrated Heisenberg model on the square lattice,Large-N expansion for frustrated quantum antiferromagnets
"Trends in 4d-subshell photoabsorption along the iodine isonuclear sequence: I, I+, and I2+",Rise and fall of the 4d10→4d94f resonance in the Xe isoelectronic sequence
"Pinning, metastability, and sliding of charge-density waves in an electric field",Nonlinear Conductivity and Noise due to Charge-Density-Wave Depinning in NbSe3
Waveguide transport mediated by strong coupling with atoms,Waveguide QED: Power spectra and correlations of two photons scattered off multiple distant qubits and a mirror
Energy-scaling approach to phase-ordering growth laws,"Topological defects, correlation functions, and power-law tails in phase-ordering kinetics"
Low-temperature magnetoresistance in insulating a−GdxSi1−x alloys,"Direct Observation of the Coulomb Correlation Gap in a Nonmetallic Semiconductor, Si: B"
Theoretical analysis of influence of random alloy fluctuations on the optoelectronic properties of site-controlled (111)-oriented InGaAs/GaAs quantum dots,In(Ga)As/GaAs quantum dots grown on a (111) surface as ideal sources of entangled photon pairs
"Resonances in photoabsorption spectra of SiF4, Si(CH3)4, and SiCl4 near the silicon K edge",Spectra of X-Ray Absorption in the K Shell of Si in Gaseous SiCl4 and in the L Shell of Ge in Gaseous GeCl4
"Chemical amplifier, self-ignition mechanism, and amoeboid cell migration",Random walk and directed movement: Comparison between inert particles and self-organized molecular machines
Electrodynamics of the antiferromagnetic phase in URu2Si2,Anisotropic electrical resistivity of the magnetic heavy-fermion superconductor URu2Si2
Dynamical conductivity of a quantum-wire superlattice,Theory of plasmons in lateral multiwire superlattices
All-electron mixed basis GW calculations of TiO2 and ZnO crystals,Precise quasiparticle energies and Hartree-Fock bands of semiconductors and insulators
Quantum-noise reduction in traveling-wave second-harmonic generation,Two-photon coherent states of the radiation field
Theory of traffic jam in a one-lane model,Thermodynamic Theory of Weakly Excited Granular Systems
Phase transition in small metallic junctions with quasiparticle dissipation,Quantum Shot Noise in Tunnel Junctions
Two-dimensional nanoscale correlations in the strong negative thermal expansion material ScF3,Soft Modes and Elasticity of Nearly Isostatic Lattices: Randomness and Dissipation
Ionization of many-electron atoms by ultrafast laser pulses with peak intensities greater than 1019W/cm2,Laser Electron Accelerator
Effective elementarity of resonances and bound states in statistical mechanics,S-Matrix Formulation of Statistical Mechanics
Two-atom Rydberg blockade using direct 6S to nP excitation,Interactions between Rydberg-dressed atoms
"Production thresholds for quark and for diquark pairs in ee¯ annihilation as tests of charm, then color, excitation",Color Gluon Excitation at Fermilab
Structure Determination of Medium-Sized Sodium Clusters,Size-dependent fivefold and icosahedral symmetry in silver clusters
Squeezed strings and Yangian symmetry of the Heisenberg chain with long-range interaction,Correlation functions for Hubbard-type models: The exact results for the Gutzwiller wave function in one dimension
Superconvergence and sum rules for the optical constants: Natural and magneto-optical activity,"Superconvergence and sum rules for the optical constants: Physical meaning, comparison with experiment, and generalization"
Electron density and transport in top-gated graphene nanoribbon devices: First-principles Green function algorithms for systems containing a large number of atoms,Ab initio tight-binding LMTO method for nonequilibrium electron transport in nanosystems
Covariance Matrices and the Separability Problem,Inseparability Criteria for Continuous Bipartite Quantum States
Optical spectroscopy of excited exciton states in MoS2 monolayers in van der Waals heterostructures,Electronic Structure of Epitaxial Single-Layer MoS2
Lifetimes of the First Excited States of F17 and O17,Quadrupole Moment of O17
Charge and spin transport in spin valves with anisotropic spin relaxation,Spin Relaxation in GaAs(110) Quantum Wells
Generation of chiral solitons in antiferromagnetic chains by a quantum quench,Density matrix formulation for quantum renormalization groups
Three-dimensional hydrodynamic lattice-gas simulations of binary immiscible and ternary amphiphilic flow through porous media,"Lattice-gas simulations of domain growth, saturation, and self-assembly in immiscible fluidsand microemulsions"
Simulation of static critical phenomena in nonideal fluids with the lattice Boltzmann method,Helmholtz free energy of finite spin systems near criticality
Solution of a generalized Boltzmann's equation for nonequilibrium charged-particle transport via localized and delocalized states,High-temperature electron localization in dense He gas
Black hole dynamics in Einstein-Maxwell-dilaton theory,Estimating the final spin of a binary black hole coalescence
Efficient method to generate time evolution of the Wigner function for open quantum systems,Hidden BRS invariance in classical mechanics. II
Complex mixed state of the Pauli-limited superconductor CeCoIn5,Unconventional Superconductivity in CeIrIn5 and CeCoIn5: Specific Heat and Thermal Conductivity Studies
Selective Reabsorption Leading to Multiple Oscillations in the 8446-Å Atomic-Oxygen Laser,Measured Oscillator Strengths for the 2p4P3−2p33sS∘3 Transition in Atomic Oxygen
Topological Phases in the Single-Layer FeSe,Topological nonsymmorphic crystalline insulators
Mach Cone Induced by γ-Triggered Jets in High-Energy Heavy-Ion Collisions,Gluon shadowing and jet quenching in A+A collisions at √s =200A GeV
Device-independent tomography of multipartite quantum states,Imperfect measurement settings: Implications for quantum state tomography and entanglement witnesses
Unconventional Bose-Einstein condensation in a system with two species of bosons in the p-orbital bands in an optical lattice,Lattice of double wells for manipulating pairs of cold atoms
Linear and Nonlinear Mass-Difference Effects in a Model of the Baryon Multiplets,Relation Between Masses of Pseudoscalar Octet and Vector Octet
Reexamining the isospin-relaxation time in intermediate-energy heavy-ion collisions,Equations of state for supernovae and compact stars
Theory of microwave transmission and reflection in type-II superconductors in the mixed state,Experimental evidence for vortex-glass superconductivity in Y-Ba-Cu-O
Anisotropic magnetic field dependence of the magnetization dynamics in UPd2Al3,Fermi Surface Topology and the Superconducting Gap Function in UPd2Al3: A Neutron Spin-Echo Study
Short- and long-range-order effects on the electronic properties of III-V semiconductor alloys,Interface segregation and clustering in strained-layer InGaAs/GaAs heterostructures studied by cross-sectional scanning tunneling microscopy
Preparation and photoemission investigation of bulklike α-Mn films on W(110),Magnetism of Mn layers on Fe(100)
Microscopic theory on charge transports of a correlated multiorbital system,Dynamical mean-field theory of strongly correlated fermion systems and the limit of infinite dimensions
Pairing and condensation in a resonant Bose-Fermi mixture,Depletion of the Bose-Einstein condensate in Bose-Fermi mixtures
Time-reversal and spatial-reflection symmetry localization anomalies in (2+1)-dimensional topological phases of matter,Symmetry protected topological orders and the group cohomology of their symmetry group
Spin and charge optical conductivities in spin-orbit coupled systems,Spin-Hall Conductivity in Electron-Phonon Coupled Systems
Effects of partial coherence on the scattering of x rays by matter,Measurement of the spatial coherence of a soft-x-ray laser
Photoinduced η Pairing in the Hubbard Model,One-particle excitations in strong-coupling superconductors: A new realization of the t-J model
"Molecular-frame (e,2e) experiment for N2 at large momentum transfer","(e,2e) and (e,3−1e) studies on double processes of He at large momentum transfer"
Experimental Aspects of Dual Theories for Baryons,Strange-Particle Production in π−p Interactions from 1.5 to 4.2 BeVc. II. Two-Body Final States
Prospects of very long baseline neutrino oscillation experiments with the KEK-JAERI high intensity proton accelerator,Neutrino oscillations in matter
Single-Particle and Collective Dynamics of Protein Hydration Water: A Molecular Dynamics Study,Observation of New Short-Wavelength Collective Excitations in Heavy Water by Coherent Inelastic Neutron Scattering
Black ring formation in particle systems,Time-asymmetric initial data for black holes and black-hole collisions
Implications of the B→Xℓν¯ℓ Lepton Spectrum for Heavy Quark Physics,Higher order 1/m corrections at zero recoil
Transport and optical properties of single- and bilayer black phosphorus with defects,Strain-engineered direct-indirect band gap transition and its mechanism in two-dimensional phosphorene
Criticality in the (2+1)-Dimensional Compact Higgs Model and Fractionalized Insulators,Separation of spin and charge quantum numbers in strongly correlated systems
Phase diagram of a quasi-two-dimensional colloid assembly,Computer simulations of the two-dimensional melting transition using hard disks
Emergence of Supersymmetric Quantum Electrodynamics,Bootstrapping the Three Dimensional Supersymmetric Ising Model
Nuclear Cross Sections for 270-Mev Neutrons,The Neutron-Proton Interaction
Measurement and calculation of absolute single- and double-charge-exchange cross sections for O6+ ions at 1.17 and 2.33 keV/u impacting He and H2,Electron transfer between He-like ions and He
Expanding the transfer entropy to identify information circuits in complex systems,Granger causality and information flow in multivariate processes
Excited states in Pd115 populated in the β− decay of Rh115,"Near-yrast, medium-spin structure of the Mo107 nucleus"
Enhanced surface metallic density of states in icosahedral quasicrystals,Collective excitations in x-ray spectra of metals
Reply to “Comment on ‘Monoclinic phase of PbZr0.52Ti0.48O3 ceramics: Raman and phenomenological thermodynamic studies’ ”,Comment on “Monoclinic phase of PbZr0.52Ti0.48O3 ceramics: Raman and phenomenological thermodynamic studies”
Three-qubit thermal entanglement via entanglement swapping on two-qubit Heisenberg XY chains,Quantum teleportation using three-particle entanglement
Functional Analysis and Scattering Theory,Elementary Particle Theory of Composite Particles
"Magnetorotational collapse of supermassive stars: Black hole formation, gravitational waves, and jets",Gravitational waves from supermassive stars collapsing to a supermassive black hole
Integrating the Kuramoto-Sivashinsky equation in polar coordinates: Application of the distributed approximating functional approach,Karhunen-Loève analysis of spatiotemporal flame patterns
Hamiltonian reformulation and pairing of Lyapunov exponents for Nosé-Hoover dynamics,Thermostatted molecular dynamics: How to avoid the Toda demon hidden in Nosé-Hoover dynamics
Femtosecond control of the magnetization in ferromagnetic semiconductors,"Picosecond Dynamics of the Photoinduced Spin Polarization in Epitaxial (Ga,Mn)As Films"
Four-neutrino oscillations at SNO,Four-neutrino mass spectra and the Super-Kamiokande atmospheric up-down asymmetry
Ortho- and paradeuterium effects in muon-catalyzed fusion,Interaction Matrix Elements for Resonant Muonic-Molecule Formation
Enhanced many-body effects in the excitation spectrum of a weakly interacting rotating Bose-Einstein condensate,Observation of Tkachenko Oscillations in Rapidly Rotating Bose-Einstein Condensates
All-in-one relaxion: A unified solution to five particle-physics puzzles,Natural inflation with multiple sub-Planckian axions
Quantum tunneling of the order parameter in superconducting nanowires,Quantum fluctuations in the equilibrium state of a thin superconducting loop
"Magnetic frustration in (LaA)CoNbO6 (A=Ca, Sr, and Ba) double perovskites","Metallic and nonmetallic double perovskites: A case study of A2FeReO6 (A=Ca, Sr, Ba)"
"Thermal Instability and Magnetic Field Generated by Large Heat Flow in a Plasma, Especially under Laser-Fusion Conditions",Spontaneously Growing Transverse Waves in a Plasma Due to an Anisotropic Velocity Distribution
Characterizing and Quantifying Frustration in Quantum Many-Body Systems,Hierarchies of geometric entanglement
Frustrated spin-12 Ising antiferromagnet on a square lattice in a transverse field,Statistical Mechanics of the Anisotropic Linear Heisenberg Model
Hole levels and exciton states in CdS nanocrystals,Photoluminescence Spectroscopy of Single CdSe Nanocrystallite Quantum Dots
Macroscopic two-state systems in trapped atomic condensates,Atomic-phase interference devices based on ring-shaped Bose-Einstein condensates: Two-ring case
Rectified motion in an asymmetric channel: The role of hydrodynamic interactions with walls,Entropic Splitter for Particle Separation
Reconstruction of an excited-state molecular wave packet with attosecond transient absorption spectroscopy,Attosecond Time-Resolved Autoionization of Argon
Optimal stimulus and noise distributions for information transmission via suprathreshold stochastic resonance,Stochastic resonance in the mechanoelectrical transduction of hair cells
Quantum anomalous Hall phase and half-metallic phase in ferromagnetic (111) bilayers of 4d and 5d transition metal perovskites,High-temperature large-gap quantum anomalous Hall insulating state in ultrathin double perovskite films
Mode-dependent damping in metallic antiferromagnets due to intersublattice spin pumping,Inertia-Free Thermally Driven Domain-Wall Motion in Antiferromagnets
Photoionization of the 2p subshell of sodium atoms in ground and excited states,Inner-shell photoionization in an excited atom: Many-electron effects and partial cross sections in 2p63p P3/22 sodium atoms
Three-dimensional exchange bias in {Co/Pd}N/FeMn,Model for exchange bias in polycrystalline ferromagnet-antiferromagnet bilayers
Isotope composition dependence of the band-gap energy in diamond,Electron-Phonon Renormalization of the Direct Band Gap of Diamond
Equation of state for polymer liquid crystals: Theory and experiment,Anomalous Elasticity of Polymer Cholesterics
Meson Production in Antiproton-Nucleon Annihilation,Coupled Channel Approach to J=32+ Resonances in the Unitary Symmetry Model
Vaporlike phase of amorphous SiO2 is not a prerequisite for the core/shell ion tracks or ion shaping,"Erratum: Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys"
Spectrum of a one-atom laser in photonic crystals,Normal-mode splitting and linewidth averaging for two-state atoms in an optical cavity
Correlation of fragility of supercooled liquids with elastic properties of glasses,Fragility and compressibility at the glass transition
Charge conservation protected topological phases,Quantized Hall conductivity in two dimensions
Single charged Higgs boson production in polarized photon collisions and the probe of new physics,Spontaneous Symmetry Breakdown without Massless Bosons
Photoluminescence in a-Si1−xGex:H alloys,Existence of a universal low-energy tail in the photoluminescence of a-Si1−xGex:H alloys
Magnetic susceptibility and magnetization properties of asymmetric nuclear matter in a strong magnetic field,Criteria for Ferromagnetism in Dense Neutron Fermi Liquids-Neutron Stars
Mechanical instabilities in AlPO4,Invariant molecular-dynamics approach to structural phase transitions
Simple nonlinear equation for structural relaxation in glasses,Glassy Aging Dynamics
Role of Frequency Chirp and Energy Flow Directionality in the Strong Coupling Regime of Brillouin-Based Plasma Amplification,Laser-Induced Damage in Dielectrics with Nanosecond to Subpicosecond Pulses
Electrical control of the RKKY interaction in bilayer graphene,RKKY interaction between adsorbed magnetic impurities in graphene: Symmetry and strain effects
Self-interacting dark matter and cosmology of a light scalar mediator,Spacetime Curvature and the Higgs Stability During Inflation
Magnetic ordering in Ni-rich NiMn alloys around the multicritical point: Experiment and theory,Analytic approximation for substitutional alloys
